CCJO Partners Trading LLC - Delay Cost / Interest Ledger
Valuation date,2026-07-11,Method,"Simple interest, actual/365"

COMPONENT A - INTEREST ON UNPAID PRINCIPAL
Balance,Start date,End date,Days,Rate,Interest
38281.42,2024-02-14,2026-07-11,878,4.5%,4143.83
38281.42,2024-02-14,2026-07-11,878,8.25%,7597.03
38281.42,2024-02-14,2026-07-11,878,10%,9208.52

COMPONENT B - INTEREST ON EARLIER PARTIAL DELAYS (FIFO fragments)
Balance,Start date,End date,Days,Rate 8.25%,Interest @8.25%
200.00,2023-01-04,2023-04-25,111,8.25%,5.02
17800.00,2023-03-08,2023-04-25,48,8.25%,193.12
36298.80,2023-07-08,2023-08-17,40,8.25%,328.18
8547.92,2023-10-23,2023-11-10,18,8.25%,34.78
2248.42,2023-11-10,2024-02-14,96,8.25%,48.79
,,,,Subtotal @8.25%,609.89

"COMPONENT C - INTEREST ON UNEARNED MARGIN (8 containers x $5,000, due purchase+180d)"
Container source,Margin due date,Containers,Margin $,Days to val.,Interest @8.25%
"Jul 1, 2022 wire",2022-12-28,1,5000.00,1291,1459.01
"Jul 8, 2022 wire",2023-01-04,1,5000.00,1284,1451.10
"Sep 9, 2022 wire",2023-03-08,1,5000.00,1221,1379.90
"Jan 9, 2023 wire",2023-07-08,1,5000.00,1099,1242.02
"Apr 26, 2023 wire",2023-10-23,1,5000.00,992,1121.10
"Aug 18, 2023 wire",2024-02-14,2,10000.00,878,1984.52
"Dec 10, 2024 wire",2025-06-08,1,5000.00,398,449.79
,,8,40000.00,Subtotal @8.25%,9087.44

SUMMARY - GRAND TOTAL BY RATE
Rate,Int. principal,Int. fragments,Int. margin,Total delay cost,Firm core,GRAND TOTAL
4.5%,4143.83,332.67,4956.79,9433.29,78632.42,88065.71
8.25%,7597.03,609.89,9087.44,17294.36,78632.42,95926.78
10%,9208.52,739.25,11015.06,20962.83,78632.42,99595.25

FIRM CORE breakdown,Unpaid principal,38281.42,Margin 8x5000,40000.00,Wire fees,351.00,Total,78632.42
